IPEDS ID,School Name,OPE ID
100636,Community College of the Air Force,"""01230800"""
101125,DCH Regional Medical Center,
101231,Gadsden Business College,"""00446200"""
101444,Huntsville Hospital,
101657,Pivot Point the Masters,
101903,Northwest-Shoals Community College - Phil Campbell,
102216,Southern Community College,"""01123700"""
103440,Sheldon Jackson College,"""00106200"""
104522,DeVoe College of Beauty,"""02173300"""
104984,Lamson College,"""02521500"""
105127,Maricopa Beauty College,"""02192300"""
105136,Maricopa Community College System Office,"""030722A1"""
105242,Mundus Institute,"""03004700"""
105385,"Paralegal Institute, Inc.",
105419,Empire Beauty School - Glendale,"""01234300"""
105880,Long Technical College - East Valley,"""02181300"""
106050,Metropolitan College,"""03081200"""
106607,Bee-Jay's Hairstyling Academy,"""02260400"""
106759,Creative School of Cosmetology,"""03212300"""
106838,De Luxe Beauty School,"""03116800"""
107257,Little Rock Job Corp Center,
107804,St. Vincent Infirmary Medical Center,
108199,Abram Friedman Occupational Center,"""00932500"""
108393,Academy Pacific Travel College,"""00760500"""
109095,American Graduate University,
109749,Associated Technical College,"""02553100"""
109891,Bridges Academy of Beauty,"""02180600"""
110051,Bethany University,"""00112100"""
110176,Brooks College,"""02065500"""
110787,Mountain Oaks Adult Education Center,
110936,California Coast University,
112516,National Polytechnic College of Science,"""01169600"""
112640,Morgan Hill Community Adult School,
112783,Western Beauty Institute,"""00722900"""
113166,Crenshaw-Washington Community Adult School,
113519,Deep Springs College,
113591,Kasson Adult School - Deuel Vocational Institution,
113713,Don Bosco Technical Institute,"""00915800"""
113865,East Los Angeles Occupational Center,"""01044500"""
113953,SDCCD Continuing Education,"""02241600"""
114372,Fashion Careers College,"""02234300"""
114886,Galen College of Medical and Dental Assistants,"""01202704"""
114895,Galen College of Medical and Dental Assistants,"""01202700"""
114901,Galen College of Medical and Dental Assistants,"""01202703"""
115047,Golden Gate Baptist Theological Seminary,"""00120400"""
115278,Grossmont Adult School `,
115287,Grossmont-Cuyamaca Community College District,"""001208A1"""
115384,Harbor Occupational Center,"""01037500"""
115560,Heartwood Institute,
115940,ICR Graduate School,"""666800"""
117797,Harbor - UCLA Medical Center,"""00431100"""
118374,Marinello School of Beauty - Inglewood,"""00745700"""
118383,Marinello School of Beauty - Whittier,"""00898100"""
118392,Marinello School of Beauty - Los Angeles,"""00745600"""
118417,Marinello School of Beauty - Reseda,"""00721000"""
118426,Marinello School of Beauty - North Hollywood,"""00725800"""
118435,Marinello School of Beauty - Ontario,"""01076800"""
118444,Marinello School of Beauty - San Diego,"""00722600"""
118453,Marinello School of Beauty - San Bernardino,"""00721900"""
118480,Marinello School of Beauty - West Covina,"""00720500"""
118709,Mennonite Brethren Biblical Seminary,"""01036800"""
119085,Montessori Teacher Education Center - San Francisco Bay Area,
119119,Montessori Center for Teacher Education,
119128,Montessori Western Teacher Training Program,"""03181300"""
119155,Moro Beauty College,"""02205700"""
119711,New College of California,"""01083100"""
120041,North Valley Occupational Center - Aviation Center,
120333,Opportunities Industrialization Center - West,"""03474700"""
