ID	Name	Median SAT score	Graduation rate	Retention rate
1	South Carolina State University	826	34	64
2	Tennessee State University	864	35	65
3	Clark Atlanta University	884	39	64
4	North Carolina A&T State University	892	42	75
5	University of Bridgeport	910	32	55
6	University of Texas--El Paso	925	38	73
7	Florida A&M University	946	40	80
8	Barry University	940	35	64
9	Central Michigan University	1024	58	77
10	Indiana State University	910	43	62
11	Immaculata University	953	53	80
12	New Mexico State University-Main Campus	960	46	70
13	Indiana University of Pennsylvania	981	50	75
14	Cleveland State University	1021	34	65
15	University of La Verne	1034	59	83
16	Indiana University-Purdue University--Indianapolis	990	38	72
17	University of Memphis	1005	41	77
18	Trinity International University		55	71
19	Widener University	1015	55	72
20	East Carolina University	1037	58	80
21	Bowling Green State University	997	58	74
22	Nova Southeastern University	1053	42	70
23	Texas Woman's University	916	47	71
24	University of Massachusetts--Boston	1072	38	77
25	University of Hartford	1065	52	72
26	University of Nevada--Las Vegas	997	41	76
27	University of Southern Mississippi	1036	50	75
28	Louisiana Tech University	1085	47	76
29	University of North Carolina--Greensboro	1018	54	77
30	Trevecca Nazarene University	1043	54	73
31	Kent State University	1029	52	77
32	Northern Illinois University	1022	54	72
33	Ball State University	1056	57	79
34	University of California--Riverside	1084	70	87
35	Northern Arizona University	1043	49	73
36	University of North Carolina--Charlotte	1055	53	78
37	Portland State University	1036	39	72
38	University of Rhode Island	1045	63	81
39	Florida Atlantic University	1066	41	79
40	University of Northern Colorado	1047	45	69
41	San Diego State University	1088	67	86
42	Andrews University	1051	59	79
43	Seton Hall University	1099	67	82
45	Old Dominion University	1016	49	80
46	Regent University	1024	33	73
47	Rutgers, the State University of New Jersey--Newark	1045	61	86
48	University of Nevada--Reno	1049	54	79
49	The University of West Florida	1060	48	73
50	Georgia State University	1077	51	83
51	University of Hawaii--Manoa	1075	56	79
52	University of Massachusetts--Lowell	1106	54	80
53	University of Texas--Arlington	1059	42	71
54	Saint Mary's University of Minnesota	1065	62	77
55	Washington State University	1040	67	83
56	University of Maine	1068	59	78
57	University of Colorado--Denver	1085	45	73
58	University of New Mexico-Main Campus	1070	44	74
59	University of Idaho	1066	56	79
60	University of Montana--Western	955	42	73
61	Oral Roberts University	1048	51	80
62	Pace University	1088	58	78
63	Utah State University	1105	50	72
64	Texas Tech University	1118	62	82
65	Virginia Commonwealth University	1101	57	85
66	Ohio University	1081	64	81
67	St. John's University-New York	1080	58	79
68	University of North Texas	1072	48	77
69	University of Houston	1133	46	81
71	Adelphi University	1120	66	81
72	Azusa Pacific University	1093	63	85
73	Oregon State University	1080	60	83
74	George Fox University	1100	64	81
75	University of Arizona	1094	61	78
76	Wichita State University	1036	41	71
77	New School	1120	65	81
78	University at Albany--SUNY	1098	64	85
79	University of South Dakota	1046	51	75
80	Howard University	1056	65	82
81	Temple University	1103	66	88
82	University of Kentucky	1125	58	81
83	University of Oregon	1108	68	85
84	Mississippi State University	1095	60	82
85	University of Utah	1131	59	86
86	Oklahoma State University	1107	62	79
87	University of Wyoming	1100	54	74
88	University of Alabama	1124	67	85
89	Pacific University	1112	63	79
90	Duquesne University	1131	74	87
91	The Catholic University of America	1122	67	81
92	University of Cincinnati	1130	62	85
93	University of San Francisco	1143	67	85
94	Michigan State University	1097	79	91
95	New Jersey Institute of Technology	1117	54	82
96	Montana State University	1106	49	74
97	University of Illinois--Chicago	1129	58	80
98	Colorado State University	1143	63	84
99	University of Alabama--Birmingham	1111	48	80
100	Clarkson University	1133	71	87
101	DePaul University	1147	68	86
102	University of Louisville	1120	52	78
103	University of New Hampshire	1087	77	87
104	University of South Florida	1158	57	88
105	Purdue University--West Lafayette	1165	70	89
107	George Mason University	1150	66	86
108	University of Dayton	1152	78	87
109	University of California--Santa Cruz	1089	77	90
110	University of Alabama--Huntsville	1152	47	77
111	Louisiana State University--Baton Rouge	1142	67	84
112	SUNY Buffalo State	964	48	74
113	Florida Institute of Technology	1151	55	77
114	University of Central Florida	1163	65	87
115	Syracuse University	1150	82	92
116	North Carolina State University--Raleigh	1193	71	91
117	Texas Christian University	1186	75	87
118	Indiana University--Bloomington	1151	75	89
119	University of California--Irvine	1130	86	94
120	Texas A&M University--College Station	1169	80	92
122	SUNY College of Environmental Science and Forestry	1181	67	85
123	The University of Tennessee	1164	63	84
124	University of California--Davis	1191	85	92
125	University of Delaware	1202	80	92
126	Samford University	1139	71	85
127	University of the Pacific	1189	63	85
128	University of Missouri--Kansas City	1204	48	73
129	University of Massachusetts--Amherst	1197	70	88
130	University of Oklahoma Norman Campus	1170	67	85
131	Miami University--Oxford	1190	80	89
132	St. Thomas University	914	32	69
133	University of Denver	1191	76	87
134	Stony Brook University--SUNY	1208	70	90
135	University of Maryland--Baltimore County	1207	61	85
136	University of California--Santa Barbara	1233	86	91
137	Hofstra University	1169	61	78
138	Rutgers, the State University of New Jersey--New Brunswick	1197	79	92
139	University of Missouri	1164	71	85
140	University of Colorado--Boulder	1176	68	84
141	University of Texas--Dallas	1245	64	84
142	Marquette University	1173	80	89
143	University of Vermont	1189	76	86
144	Loyola University Chicago	1183	70	86
145	Baylor University	1234	75	85
146	University of South Carolina	1199	72	87
147	Clark University	1172	80	89
148	Iowa State University	1145	71	86
149	Drexel University	1209	65	84
150	Michigan Technological University	1161	66	83
152	University of Iowa	1146	70	85
153	Virginia Tech	1213	83	92
154	Pennsylvania State University--University Park	1185	86	92
155	University of Washington-Seattle Campus	1200	80	93
156	Florida State University	1199	75	92
157	University of San Diego	1213	76	88
158	Yeshiva University	1241	89	91
159	University of Connecticut	1226	82	93
160	Clemson University	1196	82	90
