IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
418445,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,162469,/m/0clw1wd,00865300,NO
418454,Greater Johnstown Career and Technology Center,157890,/m/0h7gnx2,01000600,NO
418463,UPMC Presbyterian Shadyside Dietetic Internship,162478,/m/0clw1vr,,
418481,Mifflin-Juniata Career and Technology Center,162487,/m/0clw1vj,02158300,NO
418506,Hanover Public School District Practical Nursing Program,162496,/m/0clw1v2,02276600,NO
418515,Lenape Technical School Practical Nursing Program,162502,/m/0clw1tn,02282500,NO
418524,Venango County Area Vocational Technical School,162511,/m/0clw1v9,02306200,NO
418533,Lancaster County Career and Technology Center,162520,/m/0clw1tw,02310800,NO
418542,Lebanon County Area Vocational Technical School,162539,/m/0clw1vz,02330300,NO
418560,Indiana County Technology Center,205179,/m/0h7gnwv,02350200,NO
418588,Northern Tier Career Center,162548,/m/0clw1t6,02353100,NO
418603,Clarion County Career Center Practical Nursing Program,162557,/m/0clw1zg,02550000,NO
418612,Hazleton Area Career Center,162566,/m/0clw1yt,02554500,NO
418658,All-State Career School-Pittsburgh,162575,/m/0clw1xh,03072400,NO
418676,Carlos F Daniels Area Vocational School,214801,,02241901,NO
418700,Serbias Technical College,219091,/m/0clw1xq,02502400,NO
418737,Academia Maison D'Esthetique,162618,,,
418755,Colegio Tecnologico y Comercial de Puerto Rico,162627,/m/0clw1_3,03061900,NO
418764,Quality Technical and Beauty College,162636,/m/0clw1x1,03068400,NO
418773,D'Mart Institute,162645,/m/0clw1wv,03070500,NO
418782,Automeca Technical College-Aguadilla,162654,/m/0clw1zx,02297702,NO
418791,Puerto Rico Barber College,162663,,,
418870,Medvance Institute,162672,/m/0clw1xy,02326300,NO
418889,North Central Institute,162681,/m/0clw1_k,03079100,NO
418898,Velma B's Beauty Academy,162690,,,
418904,Stephenville Beauty College,162706,/m/0clw1z0,,
418913,Pipo Academy of Hair Design,162715,/m/0clw1y4,02176100,NO
418968,Tint School of Makeup and Cosmetology-Dallas,162724,/m/0clw1yc,03035200,NO
418977,International Beauty School,162733,,,
419022,ACT College,162751,/m/03y9h2v,03091100,NO
419031,United Technical Center,162760,/m/0clw1z7,02068000,NO
419095,Charles H McCann Technical School,162779,/m/02wzmp9,00555700,NO
419101,Empire Beauty School - Boston,162788,,,
419147,Ailano School of Cosmetology,162797,/m/0clw1zp,03066700,NO
419156,Carsten Institute of Cosmetology,162803,/m/0clw231,03097800,NO
419183,Central California School,162812,/m/0clw21j,03097700,NO
419217,Mercy Hospital School of Practical Nursing-Plantation General Hospital,162821,/m/0clw22v,03099600,NO
419226,Marion County Community Technical and Adult Education Center,162830,/m/0clw23n,03103900,NO
419235,Rivertown School of Beauty Barber Skin Care and Nails,162849,/m/0clw20w,03102000,NO
419244,Atlanta Institute of Music,162858,/m/0bxxjc,03104500,NO
419253,Illinois Center for Broadcasting,162867,/m/0clw206,03101800,NO
419262,Marion Community Schools Tucker Career & Technology Center,162876,/m/0clw242,03100600,NO
419271,St Louis Hair Academy,162885,/m/0clw219,03097600,NO
419280,New Dimensions School of Hair Design,162894,/m/0clw23w,03101000,NO
419305,Metropolitan College,162900,,,
419314,Adirondack Beauty School,162919,/m/0clw20n,03103700,NO
419332,Forbes Road Career and Technology Center,162928,/m/0k7hq91,03101400,NO
419341,Jna Institute of Culinary Arts,162937,/m/0clw212,03103300,NO
419350,Instituto Irma Valentin - Manati,162946,,,
419378,A1 Business and Technical College,162955,,,
419411,Cortiva Institute-Seattle,162964,/m/0clw225,03099000,NO
419420,Putnam Career and Technical Center,162973,/m/0clw21r,03098300,NO
419439,Mountaineer Beauty College,162982,/m/0clw1__,03099200,NO
419448,World College,162991,,,
419457,Argosy University-Washington D.C.,,/m/0clw249,02179903,YES
419484,Crawford County Career and Technical Center Practical Nursing Program,163028,/m/0clw21z,01005500,NO
419509,University of Phoenix-Sacramento Valley Campus,,/m/0clw20f,12098865,YES
419536,DeVry University's Keller Graduate School of Management-Georgia,,,02075413,YES
419572,Baker College Corporate Services,,/m/0clw22m,,
