IPEDS ID,Name,DoE ID,Freebase mid,OPE ID,Four-Year
216339,Temple University,141501,/m/01jt2w,00337100,YES
216348,Theological Seminary of the Reformed Episcopal Church,217068,,-2,NO
216357,Thiel College,141529,/m/03qnnt,00337600,YES
216366,Thomas Jefferson University,141538,/m/0l4qb,01239300,YES
216418,Fortis Institute-Erie,141547,/m/0clvvjz,03010800,NO
216427,Triangle Tech Inc-Erie,141556,/m/0clvvjr,02090200,NO
216436,Triangle Tech Inc-Pittsburgh,141565,/m/08z01k,00783900,NO
216445,Triangle Tech Inc-Greensburg,141574,/m/0cmcb37,02129000,NO
216454,Triangle Tech Inc-Dubois,141583,/m/0clvvl1,02174400,NO
216463,Trinity Episcopal School for Ministry,141592,/m/06bkzp,02299300,NO
216524,Ursinus College,141608,/m/03lpld,00338500,YES
216542,Valley Forge Christian College,141617,/m/026z5rs,00330600,YES
216551,Valley Forge Military College,141626,,00338600,NO
216579,Venus Beauty Academy,141635,/m/0clvvmc,02061000,NO
216597,Villanova University,141644,/m/01j_5k,00338800,YES
216630,Washington Hospital School of Nursing,141653,/m/0clvvl8,00658201,NO
216649,Washington Hospital School of Radiography,216153,/m/0clvvly,00658202,NO
216667,Washington & Jefferson College,141671,/m/037s9x,00338900,YES
216694,Waynesburg University,141680,/m/02z0y2f,00339100,YES
216746,Welder Training and Testing Institute,141699,/m/0clvvmt,01162200,NO
216764,West Chester University of Pennsylvania,141705,/m/04wgfy,00332800,YES
216773,Western Pennsylvania Hospital School of Nursing,141714,/m/0clvvml,00658300,NO
216782,Sanford-Brown Institute-Pittsburgh,230825,/m/0clvvlh,02202300,NO
216807,Westminster College,141732,/m/05wk7k,00339200,YES
216816,Westminster Theological Seminary,141741,/m/02275k,00339300,NO
216825,Westmoreland County Community College,141750,/m/03f1wf,01017600,NO
216852,Widener University-Main Campus,141778,/m/04w5hs,00331300,YES
216931,Wilkes University,141787,/m/02t20y,00339400,YES
216940,The Williamson Free School of Mechanical Trades,141796,,,
216986,Newport Business Institute-Williamsport,141802,/m/0clvvlq,00491400,NO
217013,Wilson College,141811,/m/07z3d0,00339600,YES
217040,Yeshivath Beth Moshe,141820,/m/0clvvn7,01313400,YES
217059,York College Pennsylvania,141839,/m/04q8yl,00339900,YES
217077,YTI Career Institute-York,141848,/m/0cnds6k,02127400,NO
217086,Yorktowne Business Institute,141857,/m/0clvvpb,02120800,NO
217095,Empire Beauty School-Providence,,/m/0clvvng,02071900,NO
217156,Brown University,141875,/m/01bm_,00340100,YES
217165,Bryant University,141884,/m/05mxkp,00340200,YES
217235,Johnson & Wales University-Providence,141893,/m/0hg_q97,00340400,YES
217244,Sanford-Brown Institute-Cranston,,/m/0d0hrw,01164702,NO
217305,New England Institute of Technology,141918,/m/0ffkcx,00784500,YES
217323,New England Tractor Trailer Training School,141927,/m/0clvvp3,02584400,NO
217350,Newport School of Hairdressing-Main Campus,141936,/m/0clvvnx,03080000,NO
217402,Providence College,141954,/m/01jszm,00340600,YES
217420,Rhode Island College,141963,/m/01rp88,00340700,YES
217439,Rhode Island Hospital,141972,,,
217475,Community College of Rhode Island,141981,/m/02ptj2g,00340800,NO
217484,University of Rhode Island,141990,/m/02fjzt,00341400,YES
217493,Rhode Island School of Design,142009,/m/02s62q,00340900,YES
217518,Roger Williams University,142018,/m/04m5kh,00341000,YES
217536,Salve Regina University,142027,/m/06xp1z,00341100,YES
217545,Sawyer School,142036,/m/0clvvnp,01115900,NO
217572,St Joseph School of Nursing,142045,/m/0clvvpk,00659100,NO
217581,Empire Beauty School-Warwick,,/m/0clvvq6,02176900,NO
217606,Northpoint Bible College,142063,/m/0h1knz,03570500,YES
217615,Aiken Technical College,142072,/m/0clvvqn,01005600,NO
217624,Allen University,142081,/m/08sb5n,00341700,YES
217633,Anderson University,142090,/m/04yqs6,00341800,YES
217651,AnMed Health Medical Center,142106,,,
217688,Charleston Southern University,142115,/m/0644g0,00341900,YES
217712,Technical College of the Lowcountry,142124,/m/09k6zkv,00991000,NO
217721,Benedict College,142133,/m/06r7w7,00342000,YES
217749,Bob Jones University,183442,/m/01hnb,00342100,YES
217776,Southern Wesleyan University,142151,/m/0c341_,00342200,YES
217794,Charleston Cosmetology Institute,142160,/m/0clvvr2,02356600,NO
217819,College of Charleston,142179,/m/02sn03,00342800,YES
217828,Charzanne Beauty College,142188,/m/0clvvqf,02338600,NO
217837,Northeastern Technical College,142197,/m/0clvvp_,00760200,NO
217864,Citadel Military College of South Carolina,142203,/m/064msxk,00342300,YES
217873,Claflin University,142212,/m/06r7yc,00342400,YES
217882,Clemson University,142221,/m/012vwb,00342500,YES
217891,Clinton Junior College,142230,/m/0clvvqw,00492300,NO
217907,Coker College,142249,/m/039npp,00342700,YES
217916,Columbia Beauty School,142258,,03031400,
217925,Columbia International University,142267,/m/06rpb_,00342900,YES
217934,Columbia College,142276,/m/03frjr,00343000,YES
217961,Converse College,142285,/m/06rpcp,00343100,YES
217989,Denmark Technical College,142294,/m/09rxqlt,00536300,NO
217998,Erskine College,142300,/m/039nkq,00343200,YES
218025,Florence-Darlington Technical College,142319,/m/02qfz2t,00399000,NO
218043,Forrest College,142328,/m/0clvvs5,00492400,NO
218061,Francis Marion University,142337,/m/03v493,00922600,YES
218070,Furman University,142346,/m/022xml,00343400,YES
218089,Cathedral Bible College,,/m/0clvvsd,-2,YES
218113,Greenville Technical College,142364,/m/0bjm4f,00399100,NO
218140,Horry-Georgetown Technical College,142373,/m/0clvvrr,00492500,NO
218159,Kenneth Shuler School of Cosmetology-North Augusta,142382,/m/0clvvsv,03052300,NO
218195,Kenneth Shuler School of Cosmetology and Nails-Columbia,142407,/m/0clvvrz,02341100,NO
218229,Lander University,142416,/m/03598l,00343500,YES
218238,Limestone College,142425,/m/06rpg5,00343600,YES
218265,Lutheran Theological Southern Seminary,142434,/m/094h6b,00343700,NO
218317,McLeod Regional Medical Center School of Medical Technology,,/m/0clvvsm,,
