u_id	f_id	score	actual name	result name
1	/m/02rk23	48.124512	South Carolina State University	South Carolina State University
2	/m/01t8sr	51.984085	Tennessee State University	Tennessee State University
3	/m/03818y	44.849945	Clark Atlanta University	Clark Atlanta University
4	/m/02ldkf	47.106888	North Carolina A&T State University	North Carolina Agricultural and Technical State University
5	/m/02hdht	31.726742	University of Bridgeport	University of Bridgeport
6	/m/01s7pm	68.391624	University of Texas--El Paso	University of Texas at El Paso
7	/m/02qvvv	39.107143	Florida A&M University	Florida A&M University
8	/m/02rklk	29.641865	Barry University	Barry University
9	/m/02w2bc	38.541252	Central Michigan University	Central Michigan University
10	/m/021l5s	39.47493	Indiana State University	Indiana State University
11	/m/06txt_	28.704088	Immaculata University	Immaculata University
12	/m/02jztz	38.862652	New Mexico State University-Main Campus	New Mexico State University
13	/m/04bbpm	38.666313	Indiana University of Pennsylvania	Indiana University of Pennsylvania
14	/m/01nhgd	39.498215	Cleveland State University	Cleveland State University
15	/m/0pf4w	38.733578	University of La Verne	University of La Verne
16	/m/02fszn	122.01664	Indiana University-Purdue University--Indianapolis	Indiana University-Purdue University Indianapolis
17	/m/02y9bj	36.002403	University of Memphis	University of Memphis
18	/m/0315d4	38.973244	Trinity International University	Trinity International University
19	/m/04w5hs	29.202389	Widener University	Widener University
20	/m/0m9_5	42.482479	East Carolina University	East Carolina University
21	/m/01p79b	54.250011	Bowling Green State University	Bowling Green State University
22	/m/05d_lm	38.849052	Nova Southeastern University	Nova Southeastern University
23	/m/01sqb3	38.564201	Texas Woman's University	Texas Woman's University
24	/m/0pgmj	58.430546	University of Massachusetts--Boston	University of Massachusetts Boston
25	/m/02hp6p	28.760717	University of Hartford	University of Hartford
26	/m/01jpqb	98.202759	University of Nevada--Las Vegas	University of Nevada, Las Vegas
27	/m/0cchk3	49.831196	University of Southern Mississippi	The University of Southern Mississippi
28	/m/0gy3w	39.460831	Louisiana Tech University	Louisiana Tech University
29	/m/0kddq	76.144913	University of North Carolina--Greensboro	University of North Carolina at Greensboro
30	/m/03d639	38.273411	Trevecca Nazarene University	Trevecca Nazarene University
31	/m/04bfg	60.279709	Kent State University	Kent State University
32	/m/02yxjs	48.381542	Northern Illinois University	Northern Illinois University
33	/m/022lly	39.371414	Ball State University	Ball State University
34	/m/01hhvg	61.557072	University of California--Riverside	University of California, Riverside
35	/m/02xpy5	42.157738	Northern Arizona University	Northern Arizona University
36	/m/024y8p	83.789925	University of North Carolina--Charlotte	University of North Carolina at Charlotte
37	/m/01gwck	38.197628	Portland State University	Portland State University
38	/m/02fjzt	48.975666	University of Rhode Island	University of Rhode Island
39	/m/03l78j	48.76149	Florida Atlantic University	Florida Atlantic University
40	/m/01_k7f	38.72691	University of Northern Colorado	University of Northern Colorado
41	/m/01q0kg	49.140038	San Diego State University	San Diego State University
42	/m/018sg9	40.010639	Andrews University	University of St Andrews
43	/m/01j_06	46.346664	Seton Hall University	Seton Hall University
45	/m/01stj9	42.213287	Old Dominion University	Old Dominion University
46	/m/030w4k	28.850061	Regent University	Regent University
47	/m/0ks67	45.220604	Rutgers, the State University of New Jersey--Newark	Rutgers University
48	/m/01jpyb	49.263802	University of Nevada--Reno	University of Nevada, Reno
49	/m/0386jx	26.814238	The University of West Florida	University of West Florida
50	/m/02j416	39.25946	Georgia State University	Georgia State University
51	/m/02_7kp	64.599686	University of Hawaii--Manoa	University of Hawaii at Manoa
52	/m/01lczl	47.719482	University of Massachusetts--Lowell	University of Massachusetts Lowell
53	/m/03np_7	51.331161	University of Texas--Arlington	University of Texas at Arlington
54	/m/04pmt5	47.411316	Saint Mary's University of Minnesota	Saint Mary's University of Minnesota
55	/m/01h8rk	59.355755	Washington State University	Washington State University
56	/m/020ddc	45.167057	University of Maine	University of Maine
57	/m/0321m8	53.094604	University of Colorado--Denver	University of Colorado at Denver
58	/m/02482c	33.699139	University of New Mexico-Main Campus	University of New Mexico
59	/m/0f102	36.790016	University of Idaho	University of Idaho
60	/m/025yxlt	48.703186	University of Montana--Western	University of Montana - Western
61	/m/029qzx	39.580379	Oral Roberts University	Oral Roberts University
62	/m/02lv2v	35.782578	Pace University	Pace University
63	/m/01nkcn	42.429985	Utah State University	Utah State University
64	/m/01n_g9	49.943821	Texas Tech University	Texas Tech University
65	/m/0177sq	45.429508	Virginia Commonwealth University	Virginia Commonwealth University
66	/m/02fy0z	40.864399	Ohio University	Ohio University
67	/m/01jzyx	85.026596	St. John's University-New York	St. John's University
68	/m/05zjtn4	57.708771	University of North Texas	University of North Texas
69	/m/02gr81	43.384201	University of Houston	University of Houston
71	/m/03205_	29.536324	Adelphi University	Adelphi University
72	/m/02fgq7	39.263535	Azusa Pacific University	Azusa Pacific University
73	/m/01hx2t	45.677143	Oregon State University	Oregon State University
74	/m/02cn6c	38.177704	George Fox University	George Fox University
75	/m/07vyf	53.186588	University of Arizona	University of Arizona
76	/m/01lnyf	47.797501	Wichita State University	Wichita State University
77	/m/06thjt	48.893169	New School	The New School
78	/m/02dq8f	46.307671	University at Albany--SUNY	University at Albany, The State University of New York
79	/m/01ngz1	48.436619	University of South Dakota	University of South Dakota
80	/m/0217m9	48.763565	Howard University	Howard University
81	/m/01jt2w	57.312916	Temple University	Temple University
82	/m/01ptt7	50.324795	University of Kentucky	University of Kentucky
83	/m/01n6r0	49.684128	University of Oregon	University of Oregon
84	/m/01dzg0	57.414707	Mississippi State University	Mississippi State University
85	/m/07wlf	45.439678	University of Utah	University of Utah
86	/m/01vs64	58.537716	Oklahoma State University	Oklahoma State University–Stillwater
87	/m/02mp0g	39.431194	University of Wyoming	University of Wyoming
88	/m/01wdl3	52.185349	University of Alabama	University of Alabama
89	/m/04pjmj	29.132114	Pacific University	Pacific University
90	/m/02s8qk	28.70006	Duquesne University	Duquesne University
91	/m/02vnp2	68.769096	The Catholic University of America	The Catholic University of America
92	/m/02ln0f	42.041595	University of Cincinnati	University of Cincinnati
93	/m/027mdh	47.970432	University of San Francisco	University of San Francisco
94	/m/01j_cy	65.190506	Michigan State University	Michigan State University
95	/m/01ps1k	53.046463	New Jersey Institute of Technology	New Jersey Institute of Technology
96	/m/02x9g_	61.869678	Montana State University	Montana State University - Bozeman
97	/m/01y17m	68.313255	University of Illinois--Chicago	University of Illinois at Chicago
98	/m/02d_zc	64.989899	Colorado State University	Colorado State University
99	/m/02jyr8	68.402946	University of Alabama--Birmingham	University of Alabama at Birmingham
100	/m/02l8j1	29.317369	Clarkson University	Clarkson University
101	/m/02mj7c	41.971142	DePaul University	DePaul University
102	/m/0225bv	50.674919	University of Louisville	University of Louisville
103	/m/02hp70	48.440544	University of New Hampshire	University of New Hampshire
104	/m/09s5q8	76.7733	University of South Florida	University of South Florida
105	/m/05x_5	60.325008	Purdue University--West Lafayette	Purdue University
107	/m/039d4	39.274666	George Mason University	George Mason University
108	/m/02bjhv	34.586941	University of Dayton	University of Dayton
109	/m/07vhb	83.542397	University of California--Santa Cruz	University of California, Santa Cruz
110	/m/03jc1t	51.697842	University of Alabama--Huntsville	University of Alabama in Huntsville
111	/m/01pl14	45.361187	Louisiana State University--Baton Rouge	Louisiana State University
112	/m/02cttt	30.037712	SUNY Buffalo State	University at Buffalo, The State University of New York
113	/m/0391l4	37.927876	Florida Institute of Technology	Florida Institute of Technology
114	/m/0146hc	49.784332	University of Central Florida	University of Central Florida
115	/m/078bz	47.811375	Syracuse University	Syracuse University
116	/m/0jkhr	43.744267	North Carolina State University--Raleigh	North Carolina State University
117	/m/0221g_	42.9324	Texas Christian University	Texas Christian University
118	/m/01qrb2	76.863922	Indiana University--Bloomington	Indiana University Bloomington
119	/m/0c5x_	64.189819	University of California--Irvine	University of California, Irvine
120	/m/07ccs	74.349487	Texas A&M University--College Station	Texas A&M University
122	/m/02l8qv	29.917933	SUNY College of Environmental Science and Forestry	State University of New York College of Environmental Science and Forestry
123	/m/01qgr3	63.70052	The University of Tennessee	University of Tennessee
124	/m/07vht	73.099045	University of California--Davis	University of California, Davis
125	/m/01swxv	41.216957	University of Delaware	University of Delaware
126	/m/02zg12	29.585442	Samford University	Samford University
127	/m/033x5p	46.970501	University of the Pacific	University of the Pacific
128	/m/016vf7	85.627518	University of Missouri--Kansas City	University of Missouri–Kansas City
129	/m/01ky7c	59.775204	University of Massachusetts--Amherst	University of Massachusetts Amherst
130	/m/01vs5c	23.716246	University of Oklahoma Norman Campus	University of Oklahoma
131	/m/01r3y2	30.598749	Miami University--Oxford	Miami University
132	/m/0183m_	39.959671	St. Thomas University	St. Thomas University
133	/m/02mzg9	43.124222	University of Denver	University of Denver
