College name,US News Key,Rank,Catgory,Acceptance rate,High school GPA,SAT 75th Percentile,ACT 75th Percentile
Abilene Christian University,abilene-christian-university-3537,19, Regional Universities (West),45.5,3.6,1200,27
Abraham Baldwin Agricultural College,abraham-baldwin-agricultural-college-1541,, Regional Colleges (South),33.33,,830,17
Academy of Art University,academy-of-art-university-7531,, Arts Schools,100,,,
Acadia University,acadia-university-CA0001,,,,,,
Adams State University,adams-state-university-1345,, Regional Universities (West),63.65,,,
Adelphi University,adelphi-university-2666,152, National Universities,66.46,3.5,1220,28
Adrian College,adrian-college-2234,19, Regional Colleges (Midwest),62.73,3.1,1050,26
Adventist University of Health Sciences,adventist-university-of-health-sciences-31155,,,,,,
Agnes Scott College,agnes-scott-college-1542,89, National Liberal Arts Colleges,61.97,3.6,1290,29
AIB College of Business,aib-college-of-business-152822,, Business Schools,94.32,3,,
Alabama Agricultural and Mechanical University,alabama-agricultural-and-mechanical-university-1002,, Regional Universities (South),54.38,2.8,915,19
Alabama State University,alabama-state-university-1005,, Regional Universities (South),51.8,,960,19
Alaska Pacific University,alaska-pacific-university-1061,80, Regional Universities (West),62.22,3.3,1080,23
Albany College of Pharmacy and Health Sciences,albany-college-of-pharmacy-and-health-sciences-2885,,,,,,
Albany State University,albany-state-university-1544,84, Regional Universities (South),19.53,2.9,950,20
Albertus Magnus College,albertus-magnus-college-1374,131, Regional Universities (North),80.8,2.7,920,0
Albion College,albion-college-2235,100, National Liberal Arts Colleges,70.21,3.4,1270,27
Albright College,albright-college-3229,176, National Liberal Arts Colleges,46.73,3.3,1155,25
Alcorn State University,alcorn-state-university-2396,77, Regional Universities (South),47.12,2.9,970,20
Alderson Broaddus University,alderson-broaddus-university-3806,46, Regional Colleges (South),40.63,3,1030,24
Alfred University,alfred-university-2668,30, Regional Universities (North),70.29,3.2,1180,27
Alice Lloyd College,alice-lloyd-college-1951,40, Regional Colleges (South),10.22,3.4,930,23
Allegheny College,allegheny-college-3230,82, National Liberal Arts Colleges,63.27,3.7,1300,29
Allen College,allen-college-30691,,,,,,
Allen University,allen-university-3417,, National Liberal Arts Colleges,57.67,2.6,790,17
Alliant International University,alliant-international-university-1158,, National Universities,,,,
Alma College,alma-college-2236,126, National Liberal Arts Colleges,71.86,3.5,0,0
Alvernia University,alvernia-university-3233,116, Regional Universities (North),80.47,3.2,1060,22
Alverno College,alverno-college-3832,68, Regional Universities (Midwest),81.96,2.8,0,0
Amberton University,amberton-university-22594,, Regional Universities (West),,,,
American Academy of Art,american-academy-of-art-142887,, Arts Schools,,,,
American Indian College of the Assemblies of God,american-indian-college-of-the-assemblies-of-god-21999,, Regional Colleges (West),,,,
American InterContinental University,american-intercontinental-university-21136B,, Regional Universities (Midwest),,,,
