Name.text,Name.href,Rank,Acceptance Rate,High School GPA,property5
Abilene Christian University,http://premium.usnews.com/best-colleges/\%22/best-colleges/abilene-christian-university-3537\%22,"#19, Regional Universities (West)",45.50%,3.6,1200 / 27
Abraham Baldwin Agricultural College,http://premium.usnews.com/best-colleges/\%22/best-colleges/abraham-baldwin-agricultural-college-1541\%22,"RNP, Regional Colleges (South)",33.33%,N/A,830 / 17
Academy of Art University,http://premium.usnews.com/best-colleges/\%22/best-colleges/academy-of-art-university-7531\%22,"Unranked, Arts Schools",100.00%,N/A,N/A
Acadia University,http://premium.usnews.com/best-colleges/\%22/best-colleges/acadia-university-CA0001\%22,Unranked,N/A,N/A,N/A
Adams State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/adams-state-university-1345\%22,"RNP, Regional Universities (West)",63.65%,N/A,N/A
Adelphi University,http://premium.usnews.com/best-colleges/\%22/best-colleges/adelphi-university-2666\%22,"#152, National Universities",66.46%,3.5,1220 / 28
Adrian College,http://premium.usnews.com/best-colleges/\%22/best-colleges/adrian-college-2234\%22,"#19, Regional Colleges (Midwest)",62.73%,3.1,1050 / 26
Adventist University of Health Sciences,http://premium.usnews.com/best-colleges/\%22/best-colleges/adventist-university-of-health-sciences-31155\%22,Unranked,N/A,N/A,N/A
Agnes Scott College,http://premium.usnews.com/best-colleges/\%22/best-colleges/agnes-scott-college-1542\%22,"#89, National Liberal Arts Colleges",61.97%,3.6,1290 / 29
AIB College of Business,http://premium.usnews.com/best-colleges/\%22/best-colleges/aib-college-of-business-152822\%22,"Unranked, Business Schools",94.32%,3,N/A
Alabama Agricultural and Mechanical University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alabama-agricultural-and-mechanical-university-1002\%22,"RNP, Regional Universities (South)",54.38%,2.8,915 / 19
Alabama State University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alabama-state-university-1005\%22,"RNP, Regional Universities (South)",51.80%,N/A,960 / 19
Alaska Pacific University,http://premium.usnews.com/best-colleges/\%22/best-colleges/alaska-pacific-university-1061\%22,"#80, Regional Universities (West)",62.22%,3.3,1080 / 23
Albany College of Pharmacy and Health Sciences,http://premium.usnews.com/best-colleges/\%22/best-colleges/albany-college-of-pharmacy-and-health-sciences-2885\%22,Unranked,N/A,N/A,N/A
